RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2624.5963939949306,2640.2171037236085,2659.9687437632356,2686.6119373138326,2709.1927205483653,2732.5935330132324,2745.924570225031,2757.499814506036,2762.904426943904,2760.272438835727,2746.865680496554,2729.999312745126,2721.5962667151143,2723.5143106537416,2733.4241886466084,2748.635714662665,2766.552427606015,2785.467947930278,2799.5798341224595,2805.68290578138,2803.7886209693706,2793.3201829333298,2778.560611582481,2754.8567554547913,2749.6586469493686,2748.368966907007,2764.856231676027,2777.846430125055,2800.886730022342,2821.5673580922653,2834.327633245259,2838.5774060601925,2830.113964468178,2810.019006917411,2784.5287036315867,2765.473625963725,2762.5303841609766,2771.312653591432,2789.0125573087917,2812.319358263769,2836.003700059808,2858.1393689626716,2873.7761780150686,2884.3620580956917,2885.3024242594593,2873.1350704050387,2854.4407276584884,2838.745115680918,2834.2679333844562,2844.266883291176,2861.5144970003857,2886.1332340939002,2912.642029710101,2940.259082279882,2960.058442756121,2972.7767186069013,2974.1536890116895,2969.103439029276,2950.2038574624803,2937.7784078765317,2934.6752429394096,2954.881061392656,2969.5100453094706,2958.6306001264784,2928.248096328417,2887.4642219397356,2847.4112528641185,,,2638.806126566571,2591.0784007362763,2565.3889185368025,2554.898525030492,2567.9985832344787,2596.9289385739166,2640.418670727655,2699.706607824086,2774.160644198357,2858.800097756175,2937.0842321962396,3001.7431372297415,3036.9456356147152,3064.1972558738594,3080.8322758894997,3110.664665779578,3149.654296475274,3197.300488106014,3249.2322092206164,3311.5587861753424,3379.394807662972,3435.430319696393,3467.367450705184,3470.2164791917953,3449.509356261895,3404.6554348941545,3370.178993862543,3361.3412435694727,3375.5138850870703,3399.8646974122953,3434.9320479594103,3480.4183558962686,3526.520329686653,3558.4154739178566,3568.503972210147,3564.960423176766,3541.318724511046
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1897.5399667526979,1912.1088021400406,1929.1819502188412,1942.985320714588,1966.5580416913172,1977.7367524856684,1993.825039700932,2002.9212114469244,2020.277922743517,2029.715160070357,2034.5485086757599,2038.3805925029576,2052.0923952555368,2072.9899204193553,2090.428677917857,2098.8291328273003,2116.301418748322,2134.589418616446,2146.469881029731,2142.5348373673364,2138.951962617211,2140.5506615464283,2139.409329518123,2140.2191024795425,2162.5896494949698,2184.337332625531,2217.573919191647,2225.2572665103035,2241.045573374418,2248.6712024399617,2261.9704029589834,2271.380235928779,2272.833165544239,2277.8819612698694,2281.29412929143,2289.986209204847,2297.609860930003,2313.0151981681074,2321.783675137285,2333.5134295762487,2341.7362672812174,2358.3641496185437,2372.6288871316783,2386.909284232844,2394.5832960162206,2396.2830903925997,2396.757192458437,2400.477909415217,2407.279356932978,2410.1518412269647,2421.9069642766704,2432.490298607703,2446.180419354303,2458.387300466551,2469.7452914754776,2478.756020115365,2481.08836446487,2479.9280936163627,2477.659203110251,2479.331409440981,2483.7493753298045,2489.4247533496805,2486.037586796503,2473.286362121673,2457.5848970775596,2446.2051652517416,2440.9289995195954,2434.1144499674583,2423.1770671376416,2414.097767963578,2408.507139470227,2404.3355223178587,2401.596963469028,2400.049764415598,2408.7203313123864,2420.202195902571,2442.059513321022,2473.504895321207,2516.897809581139,2567.1600875494146,2605.6440813533104,2632.5027637658854,2648.571445710198,2667.743865944441,2689.079407159198,2710.722642420426,2731.4110935422245,2754.7019195635344,2784.078898747108,2808.0530077400135,2833.0242883979536,2849.3605702132295,2862.4221462609944,2856.9904370899467,2850.4250864130054,2843.447100641368,2839.6659882173753,2844.5346834593925,2852.597966662543,2866.983352490121,2868.7658189758213,2872.5434901412095,2876.0584380976434,2883.509940297071,2885.2180188838474,2878.6302654376727
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1218.90821641417,1223.5121833201456,1229.653971682533,1241.3114969993662,1251.642788417225,1262.1193706875642,1262.4611555545805,1262.6048419385702,1255.8535702750507,1252.1342844293558,1250.071355138891,1250.5916535011027,1251.656250717241,1251.002248443393,1256.3757220653224,1262.27951532962,1267.2571657507426,1267.9221139256028,1265.6998836754344,1261.053688936236,1252.802163580999,1241.2490177743812,1229.5211097945828,1222.7396853658029,1231.976494070425,1246.9606116978287,1262.4642815727302,1265.9158344007303,1273.712618552838,1273.5970802688796,1273.2552228181667,1267.0983663122654,1274.4777237273506,1284.2641119749378,1298.073198295232,1309.4111395148232,1311.2311418050595,1317.4332913882702,1314.0487553751848,1322.8487226956436,1323.5836668224438,1329.9982054940467,1328.9093954648256,1326.8915746317482,1322.7549751933914,1321.77529560604,1324.7125002434138,1324.3835452591484,1325.556527870272,1322.2716656207995,1327.6778137025044,1332.5780439040432,1342.2485063158729,1349.5327951471106,1353.032808697079,1353.0452665110795,1348.989341315716,1347.7844582747498,1346.5059071735836,1350.5193463938774,1353.0839604954404,1360.0766923167876,1365.5852292307904,1361.3219296386837,1352.8515181131722,1342.5567936571333,1344.8712893567758,1346.5363734406053,1346.3254716468841,1346.8173326690567,1349.4772196477677,1347.8291112438333,1346.202859388192,1340.0738752122363,1346.2656523523792,1357.9444509140376,1381.176443778569,1409.2317500735342,1435.740836347217,1458.0517751866028,1471.3935221443667,1477.8328591648126,1481.3237356106292,1483.1448351240483,1491.2565994507765,1500.9252111087435,1511.6677318139366,1521.0049618215355,1532.0774893205814,1545.4433299831776,1555.4633522907995,1560.2877805545702,1557.5753508835876,1552.334749299963,1549.9795888536028,1549.4476081560144,1557.430293046854,1565.9863116591116,1574.6077211981371,1578.550312113257,1585.846902656655,1595.0203765461072,1601.9674454053475,1600.3075034164856,1597.9915817973153,1593.8735613348301
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1494.9645310651865,1504.848367249904,1516.4069119587814,1527.718679844246,1541.500387003045,1552.594676920542,1558.9388086218187,1561.4272858646016,1554.8967857912617,1545.4424826782513,1536.330545404591,1535.1626882241299,1546.8891012560478,1558.348612682193,1573.0264937456875,1580.7688896682596,1591.4884073232665,1603.210571077219,1611.9387461022718,1616.3325231599963,1606.726968865591,1588.754330936284,1566.5762853538138,1554.5857596559222,1565.8635761572793,1587.9708698580375,1612.7532239744176,1625.0858594683596,1636.7963040482282,1642.829250770699,1644.833632100283,1638.0648059219984,1628.0046529646072,1614.3665225441353,1604.2254894272728,1603.2552875417332,1612.1731503055355,1626.8698761779133,1639.5490481609197,1652.044328398417,1663.3267584530859,1673.6355412555135,1677.4500249252756,1672.8732496477755,1658.3804343266415,1643.647660147745,1634.6497651350753,1636.014085740415,1647.2564953919891,1660.4490381910894,1678.4456792328438,1692.8813785111522,1705.411846362737,1714.1016069884015,1718.6611170238107,1721.3836957760116,1714.4857809896098,1704.182559537746,1692.6127854988067,1687.5461193394028,1697.5176288926423,1711.9526026293722,1727.52403147133,1727.258512683964,1724.2368301031327,1718.949516966016,1715.515823673667,1702.847796643599,1679.407536850432,1646.8888602424313,1619.7786509075872,1605.7285633574961,1603.1256208806876,1614.1941580406287,1637.6605665874908,1672.3922612072515,1706.2410904325495,1733.102445899222,1750.6957737464916,1761.5818215347788,1762.9596834209797,1761.5522697603208,1757.376870081479,1763.5714938041854,1779.913955557989,1802.2956373881984,1828.074834941952,1852.270330369458,1878.3417689569694,1898.2471242506062,1914.9075762260854,1919.7869536074343,1918.346812857816,1913.1286337196457,1907.2300645222454,1907.115207895767,1916.6329839604402,1930.8352695074864,1948.5086583492885,1965.8988132426973,1991.9960447421186,2015.0844927786359,2026.9017735140403,2030.609007738963,2020.4699211047412,2003.9202753584607
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1005.8750297611314,1010.2198702193285,1017.1685193845176,1025.8077754070032,1034.7078397469652,1042.3457307447459,1043.8928290242502,1042.4895264208765,1042.48439307049,1046.2340545408695,1048.4219786678218,1048.796147881519,1049.6633930501962,1053.0135534590477,1060.355403681261,1068.3652150252008,1075.1903912731418,1077.8598103140196,1080.1601500598154,1082.5833642545995,1083.0603150409656,1078.7818187417988,1076.140360958914,1076.2586013857374,1085.111919683287,1092.2878423374184,1099.9149526391352,1103.8646538333626,1109.3890776946616,1118.2405098725835,1122.179406389971,1121.8482566476353,1117.302382893254,1113.7077147166149,1110.5329684905764,1110.7538324455945,1111.324288049276,1115.338925897078,1121.0917896977126,1127.5545958537812,1134.217806252367,1139.9399138322244,1147.321124457732,1153.6602690289053,1154.362153608497,1154.1610664067077,1151.8792198510528,1150.0082804893261,1150.8219634628856,1154.8255403139942,1162.4028942514778,1168.9093180609611,1174.5240798657544,1179.736271446173,1186.466546455388,1196.2304820423258,1200.8967120763689,1200.3370342310395,1190.7155087688316,1188.195297683743,1187.3366249262529,1193.2589320041868,1196.3428860460986,1196.1065698312236,1193.942390595895,1193.936718221025,1200.7109203238322,1207.669642076089,1212.0714107875729,1213.0958610704438,1214.2073761660524,1216.4684564960849,1216.329820713426,1218.6242096639528,1224.494386330684,1240.190854034692,1258.8906587647136,1281.222486857814,1306.7858215340916,1333.8758534449528,1356.1161763732473,1368.1822208808176,1372.7919509461617,1378.5285157890687,1383.9223307405275,1392.7585729568743,1404.0095703382224,1417.3074708877705,1434.2558874362235,1445.2621588879667,1459.0067765413905,1461.0027266601353,1459.9882173364717,1450.011910302122,1445.096080244641,1444.2663549833687,1452.7345932815629,1455.3611879408038,1462.7681137044613,1463.359175227662,1467.7601433036414,1465.5308285108456,1466.0542864723,1465.1417461664712,1461.9873775300352,1454.0045684088861
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1201.6177414210752,1209.9242082182218,1229.6427945750702,1237.554526071648,1247.4101754256765,1249.1193887140982,1252.4304055318478,1249.1499215599044,1245.1235152496843,1243.6818672971258,1239.4951491014663,1235.798788639615,1233.1193436358783,1247.16217971884,1261.9800440897307,1276.9805956535506,1283.0474417510948,1287.6709944399377,1287.4814609177736,1286.7028878364863,1280.8531725780233,1273.0117101980538,1276.133651169504,1275.997474428673,1285.6224593316983,1289.0202266102613,1304.8070505167425,1312.9918408708754,1317.771994775703,1317.4522834481168,1318.4834717458473,1318.648194621882,1318.1665644663335,1315.6993651324583,1314.257360357499,1315.4708717103972,1319.2927537414694,1328.1900113065008,1341.0643768179252,1351.0121316290802,1358.7284893436486,1360.6270114504125,1359.794332968885,1359.6389245589621,1358.8678964696353,1363.6342913632375,1367.3327250719647,1365.2172301723099,1368.4005965977435,1374.406051108964,1390.2836937162494,1398.3317889826817,1404.1020946047902,1409.9806993135398,1415.0752291501146,1416.3960926672155,1413.1486983518028,1412.9091920357744,1412.3506847181093,1415.4442810530009,1418.2630029996915,1425.4681168652598,1433.0129746621021,1434.8740340368672,1434.2299769196682,1434.3354249538222,1436.8058096670338,1433.4202928789332,1427.8557013533994,1423.7433988636656,1423.5059497829313,1422.0602788216909,1421.9145518887206,1425.9607688297833,1435.9392063177406,1452.0585523046461,1470.4693356116659,1485.8843011113834,1498.9308623116074,1510.8820409922237,1520.9572221225192,1528.2476103122185,1534.9891301537464,1545.0210752480566,1555.690778940845,1563.647923652735,1572.4242070053056,1584.650516505212,1599.6972772283773,1612.79522419387,1619.557683605249,1621.5188259642598,1623.6217504002225,1618.0011080450597,1618.3441470198752,1611.7727353228063,1617.833705011087,1620.2875986264519,1628.690213160011,1635.7348379247514,1643.748783877637,1647.6673901028732,1651.3773095877073,1653.739718778848,1659.705934357212,1665.4690142387217
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,898.1849731438431,909.9002352188201,917.5589906539108,930.2428470981106,934.4582948817915,941.7890671198222,940.6231119291392,943.650439442496,947.7291723704686,950.3977475592828,953.3557509239951,951.9493267981967,959.372248982778,964.3546657571168,975.2847446620118,985.3235624166363,997.4003944078546,1004.7336509670613,1004.1090478652052,1002.0621882398907,1003.2501301421711,1005.105092651981,1007.2175308257118,1007.1702982352929,1011.8115643727219,1019.9801699237814,1031.9499109586081,1045.4231032254709,1058.4471321449903,1066.6038395430114,1069.6533230967004,1070.4461156629923,1071.8140232027695,1077.093811335987,1077.944558701109,1078.6612945917104,1079.1992302990311,1086.7113811212662,1099.892478099917,1113.2460778595967,1126.257066238353,1134.9370955496763,1143.676613176092,1149.2995368306672,1157.4462474177612,1163.9111330270832,1169.1002494739394,1173.455279926096,1174.992118507158,1184.308517553816,1194.1650584060974,1209.581249119369,1221.2933263021712,1233.301397737971,1242.281108219102,1248.7306910269203,1253.4927116376443,1255.863452231405,1261.5708708830045,1269.0502001006882,1277.9499735088064,1286.4027442846063,1292.4143111639287,1295.8397670192517,1296.8136558419042,1300.2811676241936,1309.8114981911483,1329.6109205433347,1343.0715470920097,1354.822051764107,1359.1239851816865,1368.5913787796144,1378.0987689489866,1390.5269324659598,1411.7688435409943,1445.685065661193,1490.0436948075221,1537.5163279707403,,1629.2044746118706,1662.7237345764242,1683.2903559605118,1696.6513780603636,1707.7147352420495,1718.938051550317,1728.1062625279305,1741.5923581595293,1754.5956681177233,1767.8828014901605,1777.729967442766,1784.9270335625113,1783.3369789600722,1777.6925564888136,1771.4365699750438,1766.4890451180813,1762.7476586268572,1756.2920852679636,1757.168574066004,1765.1128643627328,1776.4616618276177,1785.8106349437644,1786.1221749761248,1787.3405129767084,1783.1576655132708,1781.4405532427595,1774.5938230220293
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1005.4412447553772,1009.749797456508,1014.4306611918811,1022.4829846163489,1029.5303364343836,1036.4661694771899,1041.3264639254942,1044.9876397720702,1048.3942728432278,1047.377806063817,1047.3468772631115,1046.6036565777656,1049.7572441435416,1053.6916862134622,1058.3351379536036,1065.317850326551,1074.4034782643062,1086.6197982526537,1092.2384392097936,1094.2962292965487,1093.480469545112,1093.8584182041257,1093.7331126048978,1092.6175058076863,1098.4515723274258,1106.526816138196,1117.4276905709849,1124.353210418434,1131.0315328978725,1138.9288880824695,1146.837925396784,1153.3822071268432,1156.8513101585895,1157.9441192402055,1160.466990835003,1164.3042851464736,1168.5410409802964,1176.6162481908862,1186.5160726088816,1201.4978844509887,1212.8801746774436,1221.307598729562,1229.1063298399047,1235.7247775463632,1241.9715845770033,1243.6189446570552,1245.7908175932637,1247.568340840678,1252.7741786049414,1258.127515339502,1270.4845786928738,1281.196528444225,1292.8449308878894,1300.029114900858,1307.9773489467161,1313.7582983076259,1315.5116114219793,1315.2984679458395,1315.1711036778925,1313.6112519901626,1314.3065123977947,1321.0837871601614,1330.0830970736877,1325.9163742635926,1320.6919052456208,1320.2622655025064,1337.3984274655759,1354.1275258437183,1372.4006291324051,1386.2226659889798,1395.5471911780382,1401.1956046486284,1410.055973644653,1423.3232783467217,1441.2910640614905,1466.5084278053237,1508.6355230918361,1563.742108458131,1617.7621806476402,1669.303730581464,1704.936679508036,1730.2798284913893,1734.4619937589844,1736.7510533669188,1742.0804468433087,1751.878163172516,1760.895265120678,1770.4998169713713,1784.3800447864141,1799.7846330880411,1814.079229558524,1807.2491847798517,1793.5509032803266,1764.5381936166991,1749.0137402980736,1734.0697829494163,1734.2837576770053,1735.608551455209,1744.50639144684,1751.7176703025157,1762.8446259914867,1769.9355449080983,1775.6812086486564,1773.4662098114477,1767.6600084016711,1769.9823808873437
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1767.4535561133016,1778.6526929573372,1791.1145074203155,1792.831515300399,1806.8001561948163,1814.2493534856844,1834.136044691142,1848.200534640257,1858.2914902910013,1863.5575512173411,1862.6063478487122,1868.288208612851,1874.5813326958782,1883.8144260959295,1895.5302846791378,1902.7618708733373,1915.8913297677104,1932.8048095408915,1947.8807000600466,1952.6319044573152,1950.853027130966,1956.7466124585856,1960.03171942393,1962.4571712810764,1967.0643180198645,1984.5944946592692,2004.6224108544181,2022.599356038992,2037.3144464413049,2051.64016513039,2068.1980937696035,2075.981276587567,2078.883336774919,2075.3120448680143,2077.158870029362,2079.0045462363146,2089.044112295059,2102.136010238038,2117.2816266954555,2129.9052982323583,2146.124045587185,2157.5981814059296,2171.0673005708964,2181.6926915880767,2189.6911268115523,2191.615096346747,2181.7429143746394,2188.0948871687847,2190.1366326932107,2199.359250315746,2202.4448052129233,2213.761689119627,2226.0447066832357,2238.995417150437,2251.8084312887413,2265.845878210731,2268.226948407223,2267.5483727860437,2263.594515734744,2271.8729233645063,2276.7405773214537,2284.2625381712073,2284.8724459126192,2273.5226979413596,2263.1288493526663,2255.1195652734114,2266.0011693030824,2273.0718137963418,2284.1880501254445,2297.9265902446364,2314.5496847477457,2322.8286331376926,2331.8983827873926,2341.155583368602,2364.7140291426563,2398.9474754321673,2438.9858401056786,2486.907073216246,2540.0465316874893,2600.783016209475,2661.48011951673,2700.3509599419076,2726.171940938645,2740.516081012974,2751.679984103436,2781.214170250319,2817.311997847376,2871.6767225566455,2917.7502708869406,2964.586166588583,3002.9730190726996,3035.1463767722744,3044.183804843614,3034.5151387343994,3011.920543099233,2993.44505845647,2991.110435386426,2996.9699142381037,3019.408666450214,3046.9307880533006,3086.281300728879,3119.3358450861665,3142.561189239411,3144.265794529045,3135.959459231192,3116.924260374089
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1066.9138808462644,1070.5866405841257,1079.0726666364278,1087.966700219131,1104.2197424921235,1114.9812702875888,1125.747701479364,1126.5833757860478,1127.974859316983,1133.9281576558838,1142.4843290817944,1148.254829562378,1147.3020277731189,1150.1449291902804,1153.9334812869258,1164.4746000956331,1170.7588543978031,1181.3376079899238,1186.1690113612528,1189.5790643223988,1189.7120354743126,1186.4282624662485,1187.3241074390173,1188.1206553877353,1201.8753465550094,1209.6238068535404,1228.204813961901,1236.4037811894761,1249.8442513018854,1251.326245192545,1255.0609492935757,1253.3191745891327,1253.5912319246524,1249.96680720561,1257.3645210601496,1259.6206558914737,1265.951507799771,1274.8012385097495,1280.1399460260975,1282.868255953204,1282.271329911743,1294.499130005892,1301.0766620050595,1304.4736011852171,1296.1684802766117,1298.5342151507803,1295.3115646081842,1299.119786228516,1304.065433145985,1311.8558097859948,1322.260886516975,1328.2296560931957,1336.0150405620248,1347.8493168646608,1352.9546645829216,1357.3352307282394,1356.449052159188,1353.8937205681887,1346.384318634049,1337.2229241208468,1340.8708408993348,1348.0334388498713,1356.9751613209917,1355.839650984023,1352.5668851190142,1349.0994334795207,1349.3234247515893,1351.243205093534,1354.7386271761266,1357.6346381455774,1360.6988696215324,1359.7411871759643,1354.1922704005528,1355.3589855740458,1363.9456470254875,1388.8552496332468,1418.2733442805509,1450.7265623994347,1482.5875116216043,1509.3570983635805,1534.302788018449,1546.2895885921573,1556.0225006688147,1564.3499079618255,1578.9357915651144,1597.1899309689866,1604.6921136587328,1626.481015608186,1649.5337806889747,1690.5435526002057,1711.734449129274,1720.2062410609142,1715.2439670054005,1699.935368676963,1689.6655979970117,1676.6756245357797,1675.4198931781225,1675.744719133513,1680.1242510062568,1688.0072591158325,1696.7759559842052,1705.4983378420284,1708.3254011176994,1709.3901981324864,1707.5981115151478,1704.1102539476262
